Orden	Palabra	Frec.absoluta	Frec.normalizada
3529	crees	3989	26.14
3533	renta	3985	26.12
3538	prima	3982	26.10
3542	prisa	3979	26.08
3545	cajas	3977	26.06
3562	novia	3957	25.93
3563	caras	3955	25.92
3572	verlo	3947	25.87
3578	nieve	3943	25.84
3592	lados	3927	25.74
3611	rubio	3908	25.61
3614	echar	3905	25.59
3616	quede	3903	25.58
3639	suiza	3889	25.49
3652	socio	3871	25.37
3655	piano	3867	25.34
3671	otoño	3848	25.22
3672	leído	3847	25.21
3678	prado	3844	25.19
3692	halla	3832	25.11
3701	jordi	3821	25.04
3705	grasa	3816	25.01
3715	menem	3804	24.93
3718	parar	3802	24.92
3743	unida	3783	24.79
3755	irene	3764	24.67
3762	nubes	3761	24.65
3768	dices	3755	24.61
3778	lanzó	3745	24.54
3827	pesca	3697	24.23
3829	solos	3695	24.22
3831	selva	3694	24.21
3843	falso	3677	24.10
3858	aquél	3661	23.99
3866	chino	3649	23.91
3869	adiós	3648	23.91
3883	suyos	3638	23.84
3908	culto	3612	23.67
3912	guión	3610	23.66
3914	niega	3608	23.64
3950	envió	3567	23.38
3957	crema	3560	23.33
3960	sitúa	3560	23.33
3965	filas	3555	23.30
3972	núñez	3550	23.26
3979	balón	3543	23.22
3985	muere	3536	23.17
3986	hijas	3535	23.17
4031	lucía	3492	22.88
4037	ramos	3488	22.86
4041	félix	3480	22.81
4042	laura	3480	22.81
4051	niñas	3475	22.77
4059	malas	3465	22.71
4064	vivió	3463	22.69
4071	arias	3456	22.65
4082	pagos	3446	22.58
4087	caldo	3442	22.56
4093	serlo	3438	22.53
4099	quito	3432	22.49
4108	rayos	3423	22.43
4109	josep	3422	22.43
4119	ancho	3413	22.37
4138	aérea	3398	22.27
4146	duque	3384	22.18
4155	genes	3370	22.08
4158	piden	3367	22.07
4163	sofía	3365	22.05
4166	trece	3363	22.04
4177	penas	3357	22.00
4183	viuda	3352	21.97
4187	mesas	3349	21.95
4216	fallo	3316	21.73
4219	barra	3311	21.70
4225	primo	3308	21.68
4251	suena	3287	21.54
4261	gritó	3274	21.46
4278	toman	3259	21.36
4290	prevé	3248	21.29
4320	colón	3223	21.12
4342	crece	3208	21.02
4350	héroe	3201	20.98
4354	rocas	3197	20.95
4356	lenta	3193	20.92
4357	llave	3193	20.92
4358	haces	3192	20.92
4362	ajeno	3190	20.91
4363	hielo	3190	20.91
4369	drama	3186	20.88
4373	rango	3182	20.85
4377	toque	3181	20.85
4389	solas	3163	20.73
4397	subió	3157	20.69
4416	juana	3143	20.60
4417	solía	3142	20.59
4421	minas	3138	20.56
4425	lanza	3135	20.54
4427	rojos	3134	20.54
4441	fases	3122	20.46
4460	árabe	3107	20.36
4467	falsa	3101	20.32
4480	james	3094	20.28
4482	verla	3093	20.27
4489	metal	3087	20.23
4492	revés	3085	20.22
4494	ortiz	3083	20.20
4502	silva	3078	20.17
4505	evita	3075	20.15
4547	rubén	3044	19.95
4553	listo	3042	19.93
4562	fraga	3036	19.90
4563	nacer	3036	19.90
4564	seria	3035	19.89
4567	indio	3033	19.88
4578	pasta	3029	19.85
4603	parto	3009	19.72
4618	aviso	2997	19.64
4621	filme	2997	19.64
4628	pollo	2993	19.61
4634	duras	2987	19.57
4637	noble	2985	19.56
4644	bello	2982	19.54
4652	vidal	2976	19.50
4663	pelea	2971	19.47
4670	rabia	2969	19.46
4675	cinta	2965	19.43
4682	muros	2962	19.41
4707	copia	2946	19.31
4714	cuota	2940	19.27
4715	tramo	2938	19.25
4719	barro	2930	19.20
4725	cádiz	2924	19.16
4730	harán	2921	19.14
4732	ponga	2919	19.13
4733	carro	2918	19.12
4734	flujo	2918	19.12
4742	hueso	2909	19.06
4750	duros	2905	19.04
4764	tumba	2899	19.00
4772	diana	2894	18.96
4788	medir	2883	18.89
4793	presa	2879	18.87
4795	apoya	2878	18.86
4808	vídeo	2869	18.80
4813	volví	2867	18.79
4818	móvil	2863	18.76
4819	trama	2863	18.76
4820	tenis	2862	18.76
4827	vayan	2858	18.73
4843	llevo	2848	18.66
4858	creyó	2838	18.60
4860	sexto	2837	18.59
4874	bahía	2828	18.53
4878	vinos	2828	18.53
4891	rosas	2820	18.48
4892	trajo	2820	18.48
4894	cobre	2818	18.47
4902	recta	2814	18.44
4924	oliva	2800	18.35
4930	patas	2799	18.34
4933	novio	2797	18.33
4935	justa	2793	18.30
4941	barba	2790	18.28
4944	acero	2788	18.27
4948	genio	2786	18.26
4951	vapor	2785	18.25
4957	curva	2780	18.22
4966	trate	2775	18.18
4981	diera	2765	18.12
4984	viena	2763	18.11
5001	cable	2751	18.03
5004	ciego	2749	18.01
5020	abuso	2741	17.96
5021	cuero	2741	17.96
5024	fruta	2739	17.95
5027	cerro	2738	17.94
5030	bravo	2737	17.94
5037	lucas	2733	17.91
5042	traer	2731	17.90
5050	bordo	2726	17.86
5051	negar	2726	17.86
5056	notar	2725	17.86
5058	vimos	2725	17.86
5059	oídos	2724	17.85
5087	julia	2711	17.77
5093	ojalá	2709	17.75
5103	quita	2704	17.72
5110	serra	2702	17.71
5126	finca	2696	17.67
5130	gordo	2693	17.65
5132	vasos	2692	17.64
5151	trigo	2681	17.57
5160	preso	2677	17.54
5172	pedía	2670	17.50
5175	acusa	2668	17.48
5176	mandó	2668	17.48
5195	opera	2658	17.42
5204	peter	2653	17.39
5210	sudor	2651	17.37
5212	peces	2649	17.36
5218	riego	2647	17.35
5221	sentó	2646	17.34
5229	simón	2644	17.33
5239	hueco	2639	17.29
5240	citar	2638	17.29
5245	monto	2635	17.27
5253	acusó	2631	17.24
5256	asilo	2630	17.23
5270	nieto	2624	17.19
5273	falla	2622	17.18
5276	magia	2621	17.18
5282	flota	2615	17.14
5286	broma	2612	17.12
5291	copas	2609	17.10
5295	ajena	2608	17.09
5297	meter	2607	17.08
5310	vasca	2594	17.00
5311	votar	2593	16.99
5323	cubre	2586	16.95
5327	pisos	2585	16.94
5338	video	2578	16.89
5341	cerdo	2576	16.88
5345	capas	2574	16.87
5346	crudo	2574	16.87
5363	press	2565	16.81
5388	logro	2549	16.70
5400	rodea	2543	16.66
5412	quise	2537	16.62
5420	miran	2533	16.60
5423	milán	2531	16.59
5438	mateo	2523	16.53
5439	metió	2523	16.53
5441	botón	2522	16.53
5448	censo	2519	16.51
5462	daría	2511	16.45
5464	calvo	2509	16.44
5472	veían	2506	16.42
5486	golfo	2496	16.36
5501	males	2485	16.28
5504	maria	2483	16.27
5525	tiros	2469	16.18
5541	obvio	2460	16.12
5554	perón	2453	16.07
5558	mover	2449	16.05
5583	duelo	2438	15.98
5588	fijar	2430	15.92
5591	buscó	2429	15.92
5598	reúne	2428	15.91
5604	damas	2423	15.88
5607	lecho	2420	15.86
5610	gotas	2419	15.85
5612	cruel	2418	15.84
5614	metas	2418	15.84
5616	véase	2418	15.84
5619	rumor	2417	15.84
5622	casco	2415	15.83
5630	celda	2411	15.80
5632	fumar	2411	15.80
5646	vacía	2406	15.77
5654	litro	2404	15.75
5674	ondas	2395	15.69
5678	nobel	2392	15.67
5696	manda	2381	15.60
5727	aldea	2365	15.50
5737	locos	2361	15.47
5740	gases	2360	15.46
5754	quedé	2356	15.44
5770	salga	2345	15.37
5784	smith	2338	15.32
5789	usado	2337	15.31
5790	digno	2336	15.31
5817	marcó	2324	15.23
5838	placa	2314	15.16
5851	costó	2308	15.12
5875	aéreo	2298	15.06
5902	cenar	2282	14.95
5916	traía	2276	14.91
5919	bruto	2275	14.91
5967	lleve	2250	14.74
5996	trago	2240	14.68
6004	papas	2236	14.65
6009	sabio	2235	14.65
6017	volar	2231	14.62
6032	rusos	2223	14.57
6033	pluma	2222	14.56
6037	risas	2221	14.55
6078	crean	2202	14.43
6086	hablo	2200	14.42
6097	opina	2195	14.38
6105	debes	2192	14.36
6107	asume	2191	14.36
6111	grano	2190	14.35
6115	pulso	2189	14.34
6116	fatal	2188	14.34
6122	gafas	2184	14.31
6124	vende	2183	14.30
6129	lagos	2180	14.28
6141	tirar	2176	14.26
6145	abría	2174	14.25
6147	firmó	2174	14.25
6149	naval	2173	14.24
6156	digna	2168	14.21
6158	amado	2167	14.20
6172	aguda	2161	14.16
6181	varón	2160	14.15
6183	ropas	2159	14.15
6184	túnel	2159	14.15
6186	circo	2157	14.13
6187	natal	2157	14.13
6188	queja	2157	14.13
6192	fibra	2155	14.12
6196	sello	2153	14.11
6201	causó	2149	14.08
6202	vacas	2149	14.08
6212	rompe	2146	14.06
6223	darme	2142	14.04
6245	coger	2133	13.98
6251	verme	2131	13.96
6255	falda	2129	13.95
6256	autos	2128	13.94
6259	ocupó	2127	13.94
6260	pardo	2127	13.94
6262	ceder	2125	13.92
6273	canta	2120	13.89
6287	celos	2113	13.85
6318	cobra	2099	13.75
6326	corea	2097	13.74
6334	saint	2096	13.73
6341	varía	2094	13.72
6342	envío	2091	13.70
6354	rubia	2087	13.68
6356	furia	2086	13.67
6357	lidia	2086	13.67
6403	trozo	2074	13.59
6439	coral	2056	13.47
6456	talla	2050	13.43
6467	viste	2046	13.41
6469	bonos	2045	13.40
6481	durán	2041	13.37
6490	pagan	2040	13.37
6503	hondo	2033	13.32
6506	judío	2031	13.31
6510	vivas	2031	13.31
6511	freud	2030	13.30
6527	abren	2024	13.26
6542	rivas	2018	13.22
6543	ariel	2017	13.22
6544	dadas	2017	13.22
6545	gallo	2016	13.21
6553	sobra	2013	13.19
6573	salta	2006	13.14
6594	fauna	1998	13.09
6601	duele	1994	13.07
6605	grita	1992	13.05
6606	joyas	1992	13.05
6611	barça	1988	13.03
6612	dados	1988	13.03
6634	suyas	1982	12.99
6651	tardó	1975	12.94
6652	cogió	1974	12.93
6654	sucia	1974	12.93
6656	altar	1973	12.93
6659	venus	1973	12.93
6668	henry	1970	12.91
6673	flora	1967	12.89
6674	ponce	1967	12.89
6689	urnas	1964	12.87
6699	marín	1959	12.84
6701	roque	1959	12.84
6710	rutas	1957	12.82
6730	times	1951	12.78
6736	macho	1950	12.78
6740	rasgo	1949	12.77
6749	frank	1944	12.74
6752	martí	1944	12.74
6759	lazos	1940	12.71
6766	saldo	1938	12.70
6784	acabo	1931	12.65
6789	vengo	1931	12.65
6796	aroma	1927	12.63
6803	plomo	1924	12.61
6806	cesar	1923	12.60
6828	tonto	1917	12.56
6829	botas	1915	12.55
6833	globo	1913	12.53
6843	formó	1910	12.51
6863	sutil	1901	12.46
6865	viera	1901	12.46
6874	veras	1898	12.44
6884	antón	1894	12.41
6892	sonar	1891	12.39
6924	trono	1880	12.32
6926	digas	1879	12.31
6946	verás	1873	12.27
6948	almas	1871	12.26
6966	agudo	1865	12.22
6985	dueña	1859	12.18
6990	cruce	1858	12.17
6995	movía	1858	12.17
7000	orina	1856	12.16
7019	river	1850	12.12
7031	tenor	1846	12.10
7048	palos	1837	12.04
7070	pelos	1831	12.00
7075	pares	1830	11.99
7082	gustó	1828	11.98
7092	marte	1825	11.96
7097	naves	1824	11.95
7101	pongo	1822	11.94
7102	viajó	1821	11.93
7103	buque	1820	11.92
7120	sumar	1817	11.91
7128	eleva	1814	11.89
7132	sales	1814	11.89
7149	román	1808	11.85
7153	lorca	1807	11.84
7157	ayudó	1806	11.83
7181	gorda	1799	11.79
7184	cesid	1798	11.78
7187	ratón	1797	11.77
7189	harto	1796	11.77
7191	llamo	1796	11.77
7268	secas	1769	11.59
7270	jones	1768	11.58
7271	secos	1768	11.58
7281	niñez	1763	11.55
7288	sirva	1761	11.54
7317	huida	1753	11.49
7333	jerez	1749	11.46
7338	cueva	1748	11.45
7356	sexta	1744	11.43
7357	suman	1744	11.43
7377	vélez	1740	11.40
7401	damos	1732	11.35
7413	señas	1730	11.33
7423	verso	1727	11.32
7427	hagas	1726	11.31
